work,mu,sigma,gauss,content,genre,style,author,works,books,words,chars,datebegin,dateend,data,date
arithmetical papyri,400,"173,21",NO,arithmetical,compilation,algorithmic,Anonymous,1,NA,10000,45000,100,700,approximate,approximate
astronomical papyri,400,"173,21",NO,astronomical,compilation,algorithmic,Anonymous,1,NA,10000,45000,100,700,approximate,approximate
Geodesy,450,"144,34",NO,geometrical,compilation,algorithmic,Anonymous metrology,1,1,4831,23930,200,700,exact,approximate
Geometrica,450,"144,34",NO,geometrical,compilation,algorithmic,Anonymous metrology,1,NA,32923,155171,200,700,exact,approximate
Liber geeponicus,450,"144,34",NO,geometrical,compilation,algorithmic,Anonymous metrology,1,1,6534,31824,200,700,exact,approximate
Measures of marbles and timber,200,"57,74",SI,geometrical,compilation,algorithmic,Didymus,1,1,1344,6388,100,300,exact,approximate
metrological compilation,200,"57,74",SI,geometrical,compilation,algorithmic,Diophanes,1,1,3211,15629,100,300,exact,approximate
metrological papyri,400,"173,21",NO,geometrical,compilation,algorithmic,Anonymous,1,NA,10000,45000,100,700,approximate,approximate
On measures,450,"144,34",NO,geometrical,compilation,algorithmic,Anonymous metrology,1,1,5027,23847,200,700,exact,approximate
Stereometrica,450,"144,34",NO,geometrical,compilation,algorithmic,Anonymous metrology,1,NA,17529,80573,200,700,exact,approximate
On burning mirrors,-160,"23,09",SI,geometrical,treatise,canonical,Diocles,1,1,3970,11901,-200,-120,approximate,exact
Planisphere,130,"23,09",SI,astronomical,treatise,canonical,Ptolemy,1,1,7110,27001,90,170,approximate,exact
Stomachion,"-249,5","21,65",SI,geometrical,treatise,canonical,Archimedes,1,1,7110,27001,-287,-212,approximate,exact
Division of figures,-280,"23,09",SI,geometrical,treatise,canonical,Euclid,1,1,10250,42101,-320,-240,approximate,exact
On mirrors,50,"28,87",SI,technical,treatise,canonical,Hero of Alexandria,1,1,10250,42101,0,100,approximate,approximate
On contacts,-200,"23,09",SI,geometrical,treatise,canonical,Apollonius,1,2,19670,87401,-240,-160,approximate,exact
Determinate section,-200,"23,09",SI,geometrical,treatise,canonical,Apollonius,1,2,26892,122131,-240,-160,approximate,exact
Spherics M,100,"23,09",SI,geometrical,treatise,canonical,Menelaus,1,3,27520,125151,60,140,approximate,exact
Mechanics,50,"28,87",SI,technical,treatise,canonical,Hero of Alexandria,1,3,30974,141761,0,100,approximate,approximate
Cutting off of a space,-200,"23,09",SI,geometrical,treatise,canonical,Apollonius,1,2,39766,184041,-240,-160,approximate,exact
Vergings,-200,"23,09",SI,geometrical,treatise,canonical,Apollonius,1,2,40080,185551,-240,-160,approximate,exact
Plane loci,-200,"23,09",SI,geometrical,treatise,canonical,Apollonius,1,2,46988,218771,-240,-160,approximate,exact
Loci on surfaces,-280,"23,09",SI,geometrical,treatise,canonical,Euclid,1,2,47930,223301,-320,-240,approximate,exact
Solid loci,-270,"28,87",SI,geometrical,treatise,canonical,Aristaeus,1,5,47930,223301,-320,-220,approximate,approximate
Porisms,-280,"23,09",SI,geometrical,treatise,canonical,Euclid,1,3,54524,255011,-320,-240,approximate,exact
Cutting off of a ratio,-200,"23,09",SI,geometrical,treatise,canonical,Apollonius,1,2,57664,270111,-240,-160,approximate,exact
Conics V-VIII,-200,"23,09",SI,geometrical,treatise,canonical,Apollonius,"0,54",4,70316,278042,-240,-160,approximate,exact
Elements VII-IX,-280,"23,09",SI,arithmetical,treatise,canonical,Euclid,"0,23",3,25424,124989,-320,-240,exact,exact
Arithmetica extant 6 books,250,"28,87",SI,arithmetical,treatise,canonical,Diophantus,"0,46",6,43368,170031,200,300,exact,approximate
Arithmetica lost 7 books,250,"28,87",SI,arithmetical,treatise,canonical,Diophantus,"0,54",7,50596,198370,200,300,approximate,approximate
On polygonal numbers,250,"28,87",SI,arithmetical,treatise,canonical,Diophantus,1,1,3502,14141,200,300,exact,approximate
On rising times,-160,"23,09",SI,arithmetical,treatise,canonical,Hypsicles,1,1,1824,8511,-200,-120,exact,exact
Sectio canonis,-280,"23,09",SI,arithmetical,treatise,canonical,Euclid,1,1,2428,10471,-320,-240,exact,exact
On days and nights,-60,"23,09",SI,astronomical,treatise,canonical,Theodosius,1,2,18138,79743,-100,-20,exact,exact
Phaenomena recension b,40,"207,85",NO,astronomical,treatise,canonical,Anonymous,1,1,9885,41926,-320,400,exact,approximate
Phaenomena E,-280,"23,09",SI,astronomical,treatise,canonical,Euclid,1,1,8104,34717,-320,-240,exact,exact
On locations,-60,"23,09",SI,astronomical,treatise,canonical,Theodosius,1,1,4215,18743,-100,-20,exact,exact
Analemma,130,"23,09",SI,astronomical,treatise,canonical,Ptolemy,1,1,2172,12185,90,170,approximate,exact
